Timestamp,In which country are you currently located?,In which city are you currently located?,How old are you?,What is your gender?,"During your daytime activities, how much of a problem do you have with sleepiness?",What time do you try to go to sleep?,What is the main reason you go to bed at this time on weekdays?,How long does it take you to fall asleep?,What time do you wake up?,What is the main reason you wake up at this time on weekdays?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,What external factors influenced how well you slept last night?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap during each weekday?",What time does your (school) day start?,What time do you try to go to sleep?,How long does it take you to fall asleep?,What time do you wake up?,Are you free to wake up when you want on weekends?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap each Saturday and Sunday?",How many caffeinated drinks do you have during the day?,What time do you have your last caffeinated drink?,"Each weekday, how many hours on average do you use technology (outside of school)?",How often do you use technology during the last hour before you go to sleep?,How often do you use technology after you have gone to bed?,How often do you wake up at night from notifications?,How many days did you do sport/physical activity in the morning before school?,How many days did you do sport/physical activity in the afternoon after school?,How many days did you do sport/physical activity in the evening on school days?,How many days did you do sport/physical activity on the weekend?,"If you did not have your sports or physical activity, would you go to bed earlier or later?","If you did not have your sports or physical activity, would you wake up earlier or later?",How many days did you study/do homework in the morning before school?,How many days did you study/do homework in the afternoon after school?,How many days did you study/do homework in the evening on days that you have school?,How many days did you study/do homework on the weekend?,How many hours did you study/do homework?,How often have you arrived late to class because you overslept?,"Currently, what are your grades in school mostly?","If you compare yourself to other people your age, how would you describe your health?",How often do I go to bed and think about things I need to do?,How often do I go to bed and replay the day’s events over and over in my mind?,How often do I check my clock several times during the night?,"During the 1 hour before bedtime, how often do things happen that make me feel strong emotions?",How often do I go to bed feeling upset?,How often do I go to bed and worry about things happening at home or at school?
23/09/2021 00:59:31,Australia,Perth,13,Female,2,21,My parent / carer has set my bedtime,30,6.5,My parent/carer or another family member wakes me up,10,4,None,2,0,8.5,21.5,30,7.5,Yes,10,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 00:59:57,Australia,Perth,12,Female,1,21.5,I finish my homework,60,7,"I don’t know, I just wake up",0,4,Phone/technology noise or light,3,0,8.5,14.5,20,10,Yes,0,4,4,0,1,13,7-8 hours,5,4,1,0,0,0,0,Later than you usually do,Later than you usually do,0,0,2,1,2,Never,B’s and C’s,3,4,3,1,2,2,3
23/09/2021 01:00:01,Australia,Perth,13,Male,1,22.5,Other,10,7,My parent/carer or another family member wakes me up,0,4,Other,2,0,8.5,0,10,7.5,Yes,0,4,3,0,0,18,5-6 hours,4,4,1,1,2,3,1,The same as you usually do,Later than you usually do,0,2,1,1,1,Never,B’s and C’s,1,2,1,2,0,0,0
23/09/2021 01:00:04,Australia,Perth,12,Male,2,22,I feel sleepy,30,7,"I don’t know, I just wake up",0,4,None,3,0,8.5,23,10,8,Yes,0,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 01:01:48,Australia,Perth,12,Female,1,22,My parent / carer has set my bedtime,10,7.5,My alarm clock wakes me up,0,4,None,4,0,8.5,0,10,8.5,Yes,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 01:02:16,Australia,Perth,13,Female,1,21.5,Other,60,5,My alarm clock wakes me up,30,3,Noises outside your home,2,0,8,11,30,7,Yes,30,3,3,0,1,6,1-2 hours,1,1,0,5,5,5,2,Earlier than you usually do,Later than you usually do,2,2,3,1,3,Never,A’s and B’s,2,4,4,3,2,3,5
23/09/2021 01:02:54,Australia,Perth,12,Female,1,22.5,Other,10,5.5,My alarm clock wakes me up,0,2,Phone/technology noise or light,1,0,8.5,12,13,19,No,0,1,2,0,0,9,9 or more hours,5,1,0,1,1,5,1,The same as you usually do,Later than you usually do,0,2,0,0,2,Never,A’s and B’s,3,3,3,1,4,2,1
23/09/2021 01:03:41,Australia,Perth,12,Non-binary,4,3,My parent / carer has set my bedtime,60,2,My alarm clock wakes me up,60,1,Other,1,120,1.5,2,60,4,No,120,1,1,240,69,3.5,9 or more hours,5,5,5,5,5,5,2,Later than you usually do,Earlier than you usually do,5,5,5,2,69,Everyday,D’s and F’s,1,0,0,5,0,0,0
23/09/2021 01:04:06,Australia,Perth,13,Male,1,22.5,My brother or sister go to bed,15,7.5,My alarm clock wakes me up,10,3,Phone/technology noise or light,3,0,8.5,11,10,9.5,Yes,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 01:05:12,Australia,Perth,12,Male,1,21.5,My TV shows are over,5,6,My parent/carer or another family member wakes me up,2,4,Phone/technology noise or light,4,30,8.5,0.5,2,7.5,Yes,0,3,4,40,1,8,9 or more hours,,,,1,4,,2,Later than you usually do,The same as you usually do,0,1,1,0,2,Several Times,B’s and C’s,3,3,2,2,1,1,1
23/09/2021 01:05:32,Australia,Perth ,13,Male,0,23,I feel sleepy,20,7.5,My alarm clock wakes me up,5,4,None,3,0,8.5,23.5,10,9.5,Yes,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 01:07:15,Australia,Perth,12,Male,2,21.5,I feel sleepy,10,6,My parent/carer or another family member wakes me up,0,2,Other,3,0,8.5,0,2,8.5,No,0,4,4,0,,,1-2 hours,2,2,0,0,4,4,1,The same as you usually do,The same as you usually do,1,1,2,0,4,Never,A’s and B’s,2,1,4,0,3,1,2
23/09/2021 01:08:31,Australia,Perth,12,Female,1,21.5,Other,40,6,"I don’t know, I just wake up",15,3,None,3,15,8,22,30,8,Yes,10,4,4,10,1,13,5-6 hours,3,1,1,0,4,1,2,Earlier than you usually do,The same as you usually do,0,4,4,1,4,Never,A’s,4,5,5,1,4,2,4
23/09/2021 01:12:04,Australia,Perth,12,Male,0,1.5,My parent / carer has set my bedtime,27,2,"I don’t know, I just wake up",0,5,None,5,69,8.5,18,25,8.5,Yes,4,5,5,22,50,20.5,9 or more hours,1,0,1,5,5,5,2,Earlier than you usually do,Earlier than you usually do,5,5,5,2,,Everyday,D’s and F’s,4,5,0,0,0,3,5
23/09/2021 02:05:30,Australia,Perth,15,Male,2,22.5,I feel sleepy,15,7,My alarm clock wakes me up,0,4,Room too hot/cold,3,10,8.5,10.5,15,8.5,Yes,0,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 02:10:05,Australia,Fremantle,16,Male,0,22,Other,30,5,My alarm clock wakes me up,10,4,None,3,0,8.5,10.5,30,6,No,10,4,4,0,0,8.5,1-2 hours,3,1,0,3,4,4,2,Later than you usually do,Later than you usually do,0,0,0,0,0,Never,A’s and B’s,4,2,2,4,1,0,1
23/09/2021 02:11:24,Australia,Perth,15,Male,2,12.5,I feel sleepy,10,7.5,My parent/carer or another family member wakes me up,3,3,None,2,140,8.5,1,5,7.5,No,60,2,2,120,,,7-8 hours,5,1,0,0,0,0,0,Later than you usually do,The same as you usually do,0,0,0,0,0,Several Times,B’s and C’s,1,4,4,3,4,3,4
23/09/2021 02:12:40,Australia,Perth,17,Female,0,22,I finish socialising,10,6.5,My alarm clock wakes me up,30,3,Room too hot/cold,3,0,8.5,22.5,30,6,Yes,60,4,4,0,1,9,3-4 hours,5,2,1,0,3,0,2,The same as you usually do,The same as you usually do,1,4,2,2,5,Never,A’s and B’s,2,4,4,2,3,2,2
23/09/2021 02:13:26,Australia,Perth,16,Female,3,22.5,I finish my homework,60,5.5,My alarm clock wakes me up,30,3,Other,1,120,8.5,12,60,11.5,Yes,30,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 02:15:47,Australia,Perth,16,Female,2,23.5,I feel sleepy,15,6,My parent/carer or another family member wakes me up,0,4,Family/people disturbance,1,0,8.5,0,10,9,Yes,0,4,2,0,1,6.5,5-6 hours,5,2,0,1,1,2,0,The same as you usually do,The same as you usually do,0,,3,2,5,Never,A’s,3,2,3,0,3,3,3
23/09/2021 02:16:56,Australia,perth,16,Female,3,10.5,Other,15,7.5,My parent/carer or another family member wakes me up,30,3,Room too hot/cold,1,60,8.5,12.5,20,8,No,30,3,1,180,3,16.5,5-6 hours,3,3,0,,,,,The same as you usually do,,2,4,3,1,2,Once,A’s and B’s,1,0,3,0,3,4,4
23/09/2021 02:17:23,Australia,Perth ,16,Female,1,22,I feel sleepy,10,7,My alarm clock wakes me up,1,4,Room too hot/cold,3,0,8.5,23.5,15,9,No,3,4,4,0,1,7.5,3-4 hours,4,1,0,2,3,1,1,The same as you usually do,Later than you usually do,0,3,5,1,7,Never,A’s and B’s,3,4,3,2,3,2,3
23/09/2021 02:18:31,Australia,perth,17,Female,2,22.5,I feel sleepy,30,6.5,My alarm clock wakes me up,0,3,Room too hot/cold,2,0,8.5,22.5,30,7.5,No,0,3,2,0,1,12,3-4 hours,5,5,0,,,,,,,1,5,5,2,15,Never,B’s and C’s,2,4,2,1,2,1,3
23/09/2021 02:23:27,Australia,Perth,16,Female,2,9,I feel sleepy,20,7.5,My alarm clock wakes me up,0,4,Room too hot/cold,3,0,8.5,10,20,10.5,Yes,0,5,4,0,,,3-4 hours,4,1,0,0,,4,2,Earlier than you usually do,The same as you usually do,2,4,5,2,,Never,B’s,4,5,3,0,3,2,4
23/09/2021 02:27:45,Australia,Perth,16,Female,3,22,I feel sleepy,5,4.5,My alarm clock wakes me up,0,4,Pet disturbance,2,20,8.5,22,5,5,No,0,4,2,30,1,12,3-4 hours,4,4,1,4,1,1,2,The same as you usually do,Later than you usually do,0,4,4,1,15,Once,A’s and B’s,2,4,4,2,3,2,2
23/09/2021 02:31:21,Australia,Perth,16,Female,1,22.5,I finish my homework,5,7,My alarm clock wakes me up,30,3,None,3,10,8.5,12,5,8,Yes,30,4,4,0,1,15.5,5-6 hours,5,5,0,0,1,0,0,The same as you usually do,The same as you usually do,0,1,4,2,21,Never,C’s,3,2,1,1,3,3,3
23/09/2021 02:35:37,Australia,perth,17,Non-binary,4,22,I feel sleepy,60,5.5,Other,180,2,Other,4,120,9,23,60,7.5,Yes,60,4,5,180,4,16,3-4 hours,3,1,1,0,0,0,2,,,,,,,,,,1,4,3,2,4,2,3
23/09/2021 03:11:26,Australia,Perth,13,Male,1,21,I feel sleepy,10,6.5,My alarm clock wakes me up,0,4,Phone/technology noise or light,3,0,8.5,10,10,9,Yes,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:13:21,Australia,Perth,12,Female,1,20.5,My parent / carer has set my bedtime,120,5.5,"I don’t know, I just wake up",0,2,Other,3,0,8.5,21,120,6,Yes,0,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:13:26,Australia,Perth ,13,Female,1,8.5,I feel sleepy,30,6,My parent/carer or another family member wakes me up,15,3,None,3,0,8.5,21.5,30,9.5,Yes,30,4,4,0,1,19.5,3-4 hours,5,0,0,0,0,0,0,The same as you usually do,The same as you usually do,0,5,5,1,1,Never,A’s and B’s,1,5,5,2,3,3,5
23/09/2021 03:14:28,Australia,Perth,14,Female,1,21.5,I feel sleepy,30,7,My alarm clock wakes me up,0,4,Phone/technology noise or light,3,0,8.5,10.5,20,8.5,Yes,10,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:14:36,Australia,Perth,12,Female,2,20.5,I feel sleepy,30,7,Other,5,3,Pet disturbance,1,0,8.5,8.5,30,7.5,No,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:15:22,Australia,Perth,12,Female,3,23.5,I feel sleepy,60,7,My alarm clock wakes me up,10,2,Room too hot/cold,2,0,8.5,1.5,60,8.5,Yes,10,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:15:28,Australia,Perth,12,Female,2,20.5,My parent / carer has set my bedtime,25,6.5,"I don’t know, I just wake up",35,2,Other,3,20,8.5,21.5,20,8,Yes,35,3,3,10,2,13.5,7-8 hours,3,1,0,0,1,0,1,The same as you usually do,The same as you usually do,1,4,3,1,2,Several Times,A’s and B’s,1,4,5,1,5,3,5
23/09/2021 03:15:45,Australia,Perth,13,Female,3,22,I finish my homework,60,7,My alarm clock wakes me up,60,5,Family/people disturbance,3,60,8.5,10,60,7,No,60,3,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:16:27,Australia,Perth,12,Female,2,21,My parent / carer has set my bedtime,20,6.5,My parent/carer or another family member wakes me up,10,4,Phone/technology noise or light,2,20,8.5,22,10,9,No,10,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:16:41,Australia,Perth,13,Male,0,21.5,My parent / carer has set my bedtime,60,7,My alarm clock wakes me up,10,4,Pet disturbance,4,0,7,21.5,60,7.5,Yes,10,4,5,0,0,,3-4 hours,1,0,0,3,5,1,2,The same as you usually do,The same as you usually do,0,5,2,1,3,Never,A’s and B’s,3,3,1,1,1,1,3
23/09/2021 03:17:17,Australia,Perth,13,Female,1,11.5,Other,30,7,My alarm clock wakes me up,0,3,None,2,0,8.5,0,20,8,No,0,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:17:36,Australia,Perth,13,Female,3,2.5,Other,20,7,My alarm clock wakes me up,30,3,Other,2,180,8.5,5,60,12.5,Yes,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:17:41,Australia,Perth,12,Female,1,21,I feel sleepy,20,7,My parent/carer or another family member wakes me up,0,4,None,4,0,8.5,22,30,6.5,Yes,0,3,3,0,,,5-6 hours,1,0,0,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:17:42,Australia,Perth,13,Female,1,9,My parent / carer has set my bedtime,20,6,My parent/carer or another family member wakes me up,0,3,Family/people disturbance,3,0,8.5,9,20,9,Yes,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:17:43,Australia,Perth,12,Male,1,21,My parent / carer has set my bedtime,20,6.5,My alarm clock wakes me up,20,4,Family/people disturbance,4,0,8,9.5,20,6,Yes,0,4,4,0,0,,3-4 hours,3,1,2,0,0,0,0,The same as you usually do,The same as you usually do,,,,,,,,,,,,,,
23/09/2021 03:17:51,Australia,Perth,12,Female,1,21,I finish my homework,30,6,My alarm clock wakes me up,15,3,Room too hot/cold,3,0,8.5,21.5,30,10,Yes,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:17:51,Australia,Perth,13,Female,0,20.5,Other,30,6.5,"I don’t know, I just wake up",0,5,None,5,0,8.5,21.5,30,7,No,0,5,5,0,1,7,1 hour or less,1,0,0,0,5,2,2,The same as you usually do,The same as you usually do,1,1,1,1,2,Never,A’s and B’s,4,1,4,0,0,1,0
23/09/2021 03:17:59,Australia,Perth,12,Female,1,9.5,I finish my homework,20,6,"I don’t know, I just wake up",20,3,Room too hot/cold,2,0,8.5,9.5,20,6,Yes,20,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:18:04,Australia,Perth,12,Female,1,21,I finish my homework,15,5.5,My parent/carer or another family member wakes me up,3,3,Phone/technology noise or light,2,60,8.5,8,15,6.5,No,3,3,2,60,,,5-6 hours,3,3,0,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:18:19,Australia,Perth,14,Female,1,21,My parent / carer has set my bedtime,34,6.5,My alarm clock wakes me up,60,3,Phone/technology noise or light,2,2,8.5,21.5,40,8,No,2,4,4,2,0,,1-2 hours,2,1,0,0,2,3,2,The same as you usually do,The same as you usually do,,,,,,,,4,3,5,2,4,2,1
23/09/2021 03:18:25,Australia,Perth,13,Male,2,21,I feel sleepy,150,6,My alarm clock wakes me up,30,2,Other,2,240,8.5,21.5,150,6.5,Yes,30,2,3,240,0,15,5-6 hours,3,1,1,0,3,0,1,The same as you usually do,The same as you usually do,0,2,0,1,2,Several Times,A’s and B’s,2,4,3,2,2,1,2
23/09/2021 03:18:40,Australia,Perth,13,Male,3,21,I feel sleepy,30,7,Other,20,4,None,2,0,8.5,22.5,5,7.5,No,0,4,4,0,0,,3-4 hours,2,0,0,0,0,0,1,The same as you usually do,Later than you usually do,0,2,2,1,3,Several Times,A’s,2,3,3,1,3,3,3
23/09/2021 03:18:49,Australia,perth,13,Prefer not to say,0,22,I finish my homework,30,7.5,My alarm clock wakes me up,10,3,Room too hot/cold,3,0,8.5,22.5,30,9,No,10,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:19:00,Australia,Perth,14,Male,1,22.5,Other,45,6,My alarm clock wakes me up,0,3,Family/people disturbance,3,0,8.5,12,45,8.5,No,0,4,4,0,2,6,3-4 hours,3,1,0,3,4,3,2,The same as you usually do,The same as you usually do,0,3,0,1,2,Never,A’s and B’s,3,5,4,3,1,2,4
23/09/2021 03:19:00,Australia,perth,15,Female,1,21.5,My parent / carer has set my bedtime,15,7,"I don’t know, I just wake up",20,4,Room too hot/cold,3,0,8.5,22,10,8,Yes,0,5,4,0,,,7-8 hours,4,1,0,0,1,1,1,The same as you usually do,The same as you usually do,0,4,3,2,2,Never,A’s and B’s,3,3,3,1,3,2,2
23/09/2021 03:19:00,Australia,Perth,14,Male,3,22.5,I feel sleepy,10,7,My alarm clock wakes me up,10,3,Room too hot/cold,2,0,8.5,0.5,60,9,No,10,4,3,0,2,17,3-4 hours,3,1,3,0,4,2,2,The same as you usually do,The same as you usually do,3,2,1,0,5,Several Times,B’s,3,5,3,3,2,1,4
23/09/2021 03:19:02,Australia,Perth,12,Male,1,7.5,My brother or sister go to bed,30,6.5,"I don’t know, I just wake up",10,5,Room too hot/cold,5,30,20.5,8.5,30,6.5,No,10,5,5,30,0,7.5,1-2 hours,1,0,0,3,5,4,2,The same as you usually do,The same as you usually do,1,5,5,1,2,Never,A’s and B’s,,,,,,,
23/09/2021 03:19:02,Austria,Perth,50,Female,0,21.5,Other,60,6.5,Other,60,5,Noises outside your home,4,7,8.5,10.5,50,8,No,50,4,4,0,0,,,,,,2,3,3,1,Later than you usually do,Later than you usually do,,,,,,,,,,,,,,
23/09/2021 03:19:03,Australia,Fremantle,12,Prefer not to say,1,21.5,My parent / carer has set my bedtime,30,6,Other,0,3,Phone/technology noise or light,2,240,7.5,11.5,30,10.5,Yes,0,3,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:19:09,Australia,Perth,14,Female,3,22,My parent / carer has set my bedtime,36,6.5,My alarm clock wakes me up,20,4,Noises outside your home,3,0,8.5,11.5,45,8.5,No,20,5,4,0,2,17,3-4 hours,4,2,1,0,0,0,1,The same as you usually do,Later than you usually do,0,3,3,0,1,Twice,B’s and C’s,3,4,3,0,4,3,4
23/09/2021 03:19:49,Australia,Perth,13,Male,1,22.5,My parent / carer has set my bedtime,30,7,My parent/carer or another family member wakes me up,10,3,Other,3,0,8.5,10.5,30,9,Yes,10,3,3,0,1,,5-6 hours,3,2,0,0,2,0,0,The same as you usually do,The same as you usually do,1,4,4,2,2,Twice,B’s and C’s,3,2,3,0,1,1,1
23/09/2021 03:19:59,Australia,Perth,13,Prefer not to say,4,22,Other,120,6.5,My alarm clock wakes me up,120,2,Other,2,180,8.5,22,120,9,Yes,120,2,2,0,1,12,1-2 hours,1,1,0,0,0,0,1,The same as you usually do,The same as you usually do,2,5,5,1,5,Twice,A’s and B’s,2,5,5,5,5,3,5
23/09/2021 03:20:02,Australia,Perth,14,Female,2,22,I feel sleepy,15,5.5,My alarm clock wakes me up,10,3,Phone/technology noise or light,1,0,8.5,2,15,11.5,Yes,5,4,3,240,0,,3-4 hours,5,2,1,0,3,3,1,Later than you usually do,The same as you usually do,2,4,4,1,1,Once,A’s and B’s,2,4,2,3,3,1,4
23/09/2021 03:20:04,Australia,Perth WA,13,Male,3,22,Other,120,2,Other,60,3,Family/people disturbance,1,0,8.5,4,180,10,Yes,60,1,2,0,3,17,9 or more hours,4,4,2,3,5,2,2,The same as you usually do,Later than you usually do,5,5,5,2,7,Never,B’s and C’s,2,5,5,5,5,3,5
23/09/2021 03:20:20,Australia,Perth,17,Male,1,23.5,Other,10,7.5,My alarm clock wakes me up,0,3,Room too hot/cold,3,0,8.5,1,5,11,Yes,0,3,3,0,2,23,5-6 hours,5,3,0,0,0,0,0,The same as you usually do,The same as you usually do,0,0,0,0,0,Several Times,C’s,1,2,0,0,1,1,2
23/09/2021 03:20:22,Australia,Perth,14,Female,2,21.5,My parent / carer has set my bedtime,20,6,My alarm clock wakes me up,0,4,Other,1,0,8.5,2,30,8.5,Yes,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:20:31,Australia,Perth,13,Male,0,9,I feel sleepy,10,7.5,"I don’t know, I just wake up",0,3,Family/people disturbance,3,0,8.5,9,5,9,No,0,5,5,0,0,,1 hour or less,1,0,0,0,0,5,2,The same as you usually do,Earlier than you usually do,1,2,3,1,4,Never,A’s and B’s,4,1,2,0,1,1,1
23/09/2021 03:20:39,Australia,Perth,12,Female,0,21,I feel sleepy,30,6.5,My parent/carer or another family member wakes me up,10,5,None,3,0,8.5,12.5,90,9,Yes,90,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:20:52,Australia,Perth,12,Female,1,20.5,My parent / carer has set my bedtime,45,5.5,Other,0,2,Room too hot/cold,3,0,8.5,21.5,10,7.5,No,10,4,4,0,1,16,1-2 hours,2,0,0,3,2,2,2,The same as you usually do,The same as you usually do,1,4,3,1,2,Never,B’s and C’s,3,3,0,2,2,1,3
23/09/2021 03:20:53,Australia,Perth,12,Female,2,21,My TV shows are over,20,6,My alarm clock wakes me up,10,5,Room too hot/cold,4,0,8.5,9,20,5.5,No,10,5,5,0,2,20,1-2 hours,2,0,0,0,3,3,1,The same as you usually do,Later than you usually do,5,5,5,2,17,Once,A’s and B’s,4,5,5,0,5,0,5
23/09/2021 03:21:00,Australia,Perth ,12,Male,1,21.5,I finish my homework,20,7,My alarm clock wakes me up,20,3,Room too hot/cold,4,120,8.5,23.5,10,7,No,20,3,1,120,,,3-4 hours,1,3,0,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:21:37,Australia,Perth,12,Male,0,8,My parent / carer has set my bedtime,10,6.5,Noises or my pet wakes me up,0,5,None,4,0,8.5,21,10,7,No,0,5,4,0,0,,5-6 hours,0,0,0,0,4,4,2,Earlier than you usually do,Later than you usually do,5,4,2,1,3,Never,A’s and B’s,4,3,2,2,3,2,3
23/09/2021 03:21:52,Australia,Perth,13,Non-binary,3,21.5,Other,5,3,"I don’t know, I just wake up",20,3,None,3,45,3.5,11.5,2,5,Yes,4,4,4,0,3,14.5,3-4 hours,2,2,0,0,3,4,2,The same as you usually do,The same as you usually do,2,3,2,1,6,Never,B’s and C’s,2,0,1,1,4,1,2
23/09/2021 03:22:28,Australia,Perth,13,Female,3,20.5,My parent / carer has set my bedtime,15,6,I need to go to the bathroom,0,3,Other,3,0,8.5,9.5,15,7.5,Yes,0,3,3,0,1,,3-4 hours,3,0,0,0,2,4,1,The same as you usually do,The same as you usually do,0,0,2,1,1,Never,B’s,2,4,4,0,3,3,4
23/09/2021 03:22:53,Australia,Perth,12,Female,3,0,Other,240,5,My alarm clock wakes me up,150,1,Phone/technology noise or light,2,0,8.5,3.5,190,14,No,150,1,3,0,3,20,3-4 hours,,,,1,1,,,The same as you usually do,Earlier than you usually do,1,3,3,2,9,Several Times,A’s and B’s,,,,,,,
23/09/2021 03:23:20,Australia,Perth,13,Male,0,22,My parent / carer has set my bedtime,10,6.5,My alarm clock wakes me up,0,5,None,4,0,8.5,23,0,10,Yes,0,5,5,0,3,20,3-4 hours,3,0,2,0,3,2,2,The same as you usually do,The same as you usually do,0,3,3,0,2,Once,A’s,3,2,4,1,1,0,1
23/09/2021 03:23:23,Australia,Perth,12,Male,2,20.5,My parent / carer has set my bedtime,120,4.5,My alarm clock wakes me up,60,3,Other,2,0,8.5,9.5,20,7,No,30,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:23:24,Australia,Perth,12,Prefer not to say,2,8.5,My parent / carer has set my bedtime,45,5,"I don’t know, I just wake up",25,2,Other,1,0,8.5,8.5,45,4.5,No,5,2,2,0,,,1-2 hours,2,1,0,1,3,4,1,The same as you usually do,The same as you usually do,3,3,3,1,,Never,B’s and C’s,4,4,3,1,3,2,3
23/09/2021 03:23:42,Australia,Perth,13,Female,2,8.5,I feel sleepy,20,6.5,"I don’t know, I just wake up",10,5,Family/people disturbance,4,0,8.5,10.5,5,7,Yes,5,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:23:50,Australia,perth,13,Male,1,21,My parent / carer has set my bedtime,10,6,My alarm clock wakes me up,10,4,Noises outside your home,4,0,8.5,23,0,9,Yes,0,3,3,0,1,6.5,3-4 hours,3,1,0,0,3,0,1,Earlier than you usually do,The same as you usually do,1,3,3,2,5,Several Times,A’s and B’s,3,2,1,1,0,,0
23/09/2021 03:24:05,Australia,Perth,13,Male,2,8.5,Other,20,5,Other,15,4,None,3,0,8.5,8.5,20,5,Yes,15,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:24:36,Australia,Perth,13,Prefer not to say,4,21.5,My parent / carer has set my bedtime,120,6.5,My alarm clock wakes me up,120,2,Other,2,180,8.5,22.5,120,9,Yes,120,2,2,0,1,12,1-2 hours,1,1,0,0,0,0,1,The same as you usually do,The same as you usually do,2,5,5,1,5,Twice,A’s and B’s,1,5,5,5,5,4,5
23/09/2021 03:25:04,Australia,Perth,12,Male,0,20,My brother or sister go to bed,15,6.5,"I don’t know, I just wake up",5,4,Other,5,0,8.5,7.5,15,8,No,5,5,5,0,0,,1-2 hours,2,0,0,3,3,3,1,The same as you usually do,Earlier than you usually do,0,2,2,0,2,Never,A’s and B’s,4,4,2,1,2,1,3
23/09/2021 03:25:07,Australia,Perth,12,Female,2,21,Other,120,6,My alarm clock wakes me up,30,3,Room too hot/cold,2,0,8.5,22,120,7.5,No,60,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:25:13,Australia,Perth ,13,Female,2,9,My TV shows are over,15,7,My parent/carer or another family member wakes me up,2,5,Room too hot/cold,4,0,8.5,10.5,15,8.5,No,2,4,4,0,1,18.5,1-2 hours,2,0,0,0,2,0,1,The same as you usually do,The same as you usually do,1,3,0,2,2,Once,A’s and B’s,3,4,4,2,1,1,1
23/09/2021 03:25:15,Australia,Perth,14,Female,0,20.5,My parent / carer has set my bedtime,30,7,"I don’t know, I just wake up",10,4,Other,4,0,8.5,21,30,7.5,Yes,10,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2021 03:25:19,Australia,perth,13,Female,4,0,I finish my homework,15,8,My alarm clock wakes me up,0,3,Room too hot/cold,1,0,8.5,3,5,11,Yes,0,4,3,0,1,21,5-6 hours,4,3,1,,,,,,,,,,,,,,1,,,,,,
23/09/2021 03:25:32,Australia,Perth ,13,Male,0,22,I feel sleepy,1,6,My alarm clock wakes me up,0,5,None,3,0,8.5,22,1,6.5,No,0,5,3,0,1,17.5,5-6 hours,4,4,0,0,2,0,2,Earlier than you usually do,The same as you usually do,,,,,,,,3,3,2,2,1,0,2
23/09/2021 03:25:38,Australia,Perth,13,Female,2,21,I feel sleepy,15,7.5,Other,10,4,Other,1,0,8.5,22.5,15,10,Yes,0,3,2,0,1,,5-6 hours,3,1,1,,,,,,,0,1,0,0,1,Everyday,C’s,2,3,2,1,3,3,4
23/09/2021 03:25:52,Australia,Perth,13,Female,4,21.5,I finish my homework,60,6,"I don’t know, I just wake up",30,3,Room too hot/cold,3,120,8.5,9,60,6,No,30,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
